year,artist,title
2020,DaBABY featuring RODDY RICCH,ROCKSTAR
2020,MEGAN THEE STALLION,Savage
2020,THE WEEKND,Blinding Lights
2020,DOJA CAT,Say So
2020,JUSTIN BIEBER featuring QUAVO,Intentions
2020,DRAKE,Toosie Slide
2020,SAINT JHN,Roses (Imanbek Remix)
2020,DUA LIPA,Don't Start Now
2020,RODDY RICCH,The Box
2020,LADY GAGA & ARIANA GRANDE,Rain On Me
2020,POST MALONE,Circles
2020,LIL MOSEY,Blueberry Faygo
2020,MAREN MORRIS,The Bones
2020,HARRY STYLES,Adore You
2020,FUTURE featuring DRAKE,Life Is Good
2020,JACK HARLOW,What's Poppin'
2020,TREVOR DANIEL,Falling
2020,GABBY BARRETT,I Hope
2020,SURFACES,Sunday Best
2020,ARIANA GRANDE & JUSTIN BIEBER,Stuck With U
2020,STAYSOLIDROCKY,Party Girl
2020,MORGAN WALLEN,Chasin' You
2020,POWFU featuring BEABADOOBEE,Death Bed
2020,RODDY RICCH featuring MUSTARD,High Fashion
2020,"THE SCOTTS, TRAVIS SCOTT & KID CUDI",The Scotts
2020,DUA LIPA,Break My Heart
2020,LEWIS CAPALDI,Before You Go
2020,LUKE COMBS featuring ERIC CHURCH,Does To Me
2020,HARRY STYLES,Watermelon Sugar
2020,SAM HUNT,Hard To Forget
2020,CARLY PEARCE & LEE BRICE,I Hope You're Happy Now
2020,MAROON 5,Memories
2020,MARSHMELLO & HALSEY,Be Kind
2020,LIL BABY & 42 DUGG,We Paid
2020,TRAVIS DENNING,After A Few
2020,BILLIE EILISH,everything i wanted
2020,CHRIS YOUNG & YOUNG THUG,Go Crazy
2020,BLAKE SHELTON duet with GWEN STEFANI,Nobody But You
2020,LUKE BRYAN,One Margarita
2020,CAMILA CABELLO featuring DaBABY,Enemies
2020,DIPLO presents THOMAS WESLEY featuring MORGAN WALLEN,Heartless
2020,BENEE featuring GUS DAPPERTON,Supalonely
2020,6IX9INE,Gooba
2020,NLE CHOPPA featuring RODDY RICCH,Walk Em Down
2020,MIRANDA LAMBERT,Bluebird
2020,BLACKBEAR,Hot Girl Bummer
2020,LIL BABY,Emotionally Scarred
2020,POP SMOKE,Dior
2020,KENNY CHESNEY,Here And Now
2020,TONES AND I,Dance Monkey
2020,THOMAS RHETT featuring JON PARDI,Beer Can't Fix
2020,DRAKE featuring GIVEON,Chicago Freestyle
2020,JP SAXE featuring JULIA MICHAELS,If The World Was Ending
2020,THE WEEKND,In Your Eyes
2020,JACKBOYS featuring YOUNG THUG,OUT WEST
2020,FLORIDA GEORGIA LINE,I Love My Country
2020,DON TOLIVER,After Party
2020,"THOMAS RHETT feat REBA McENTIRE, HILLARY SCOTT, CHRIS TOMLIN",Be A Light
2020,POLO G featuring JUICE WRLD,Flex
