year,artist,title,track_id
2000,SON BY FOUR,Purest Of Pain,1MOqMyQ7CULmWWjovkFY5B
2000,MARC ANTHONY,You Sang To Me,2dwhMQsFeHr2S787WxqAqW
2000,FAITH HILL,Breathe,3y4LxiYMgDl4RethdzpmNe
2000,JO DEE MESSINA,Thats The Way,296XGtH5MeGisqD3uAz6Q6
2000,TONI BRAXTON,Just Be A Man About It,6kD36kVRn5leDDbjXpHQY0
2000,PINK,There You Go,3IQMlYFrnoTa6xJ15rlqTN
2000,98 DEGREES,Give Me Just One Night,1OvjOVieEsYqGiK1T3mUv9
2000,DA BRAT,WhatChu Like,5d8woPn6sHRA6yPnnHnqSt
2000,ALAN JACKSON,It Must Be Love,16OFkCrdYH524sqvTPt6CT
2000,BILLY GILMAN,One Voice,3ZdA3QuqHqOJdsczRwT1hg
2000,AVANT,Separated,5S0cvScXb33JVpjTiY9Ivi
2000,MYSTIKAL,Shake Ya Ass,1jRzdY7oUBOhrylNtiMtBD
2000,ERYKAH BADU,Bag Lady,7BgUcOjSOlKJXASLgJ6bx1
2000,CHRISTINA AGUILERA,I Turn To You,4Do68W4FWO2hRAJCzG1lus
2000,LONESTAR,What About Now,2Fsg9at6oxnR7h6PhNcOmE
2000,JESSICA SIMPSON,I Think Im In Love With You,34PsixEmIceg39NpaYxBsH
2000,NEXT,Wifey,1NNDZc9BHaWe9JqIsPRlNV
2000,DR. DRE,The Next Episode,4LwU4Vp6od3Sb08CsP99GC
2000,NINE DAYS,Absolutely,3mNecsYFb6LQg7822DPXCP
2000,N SYNC,Its Gonna Be Me,2AW37v0bDyuOzGP3XnmFuA
2000,NELLY,(Hot S**t) Country Grammar,7azC8toDthwJHHuw7m49K4
2000,LeANN RIMES,I Need You,046MBhhgQJJghnbgZCkaAR
2000,AALIYAH,Try Again,52IKUZIr66lMvy7COxmG9x
2000,MADONNA,Music,2BcOZ4vOeu2qZowIHrvTYy
2000,TONI BRAXTON,He Wasnt Man Enough,7f1Dmr246cJ9uQYdbplTbh
2000,CREED,Higher,1ZozJfi8u9cO2Ob8KwiwNT
2000,VERTICAL HORIZON,Everything You Want,4cKGldbhGJniI8BrB3K6tb
2000,STING,Desert Rose,4WhyHQ2BXi2VU1iaFbF6jv
2000,JAGGED EDGE,Lets Get Married,1PmHkalaUHhh0fz23SBHDL
2000,LIL ZANE,Callin Me,0io6VQqmCT8Yz1faAqBUFh
2000,EVERCLEAR,Wonderful,0WHOPmOuQKuu05k4g3UTvk
2000,CHRISTINA AGUILERA,Come On Over,7A0apkTSTvMbSI7yplcmlh
2000,BRITNEY SPEARS,Lucky,2TTYIwTM2iLC1YOyHuhRMt
2000,CREED,With Arms Wide Open,0eKyHwckh9vQb8ncZ2DXCs
2000,PAPA ROACH,Last Resort,5W8YXBz9MTIDyrpYaCg2Ky
2000,SHEDAISY,I Will ... But,0oP29136UYddJ9DnGpKKQg
2000,JOE,Treat Her Like A Lady,2dw34jPD8ihGrP6z1LE6eQ
2000,WHITNEY HOUSTON,Could I Have This Kiss Forever,549DBe4tw3IYPnedaz0q0J
2000,DON HENLEY,Taking You Home,114ZIcx0S3gJkZmT3wmGte
2000,AARON TIPPIN,Kiss This,038jgLNIvp7QQNf5vILf5d
2000,FAITH HILL,Lets Make Love,0i0EezZjtGz0gsd8zBP7vR
2000,EMINEM,The Way I Am,23wfXwnsPZYe5A1xXRHb3J
2000,AARON CARTER,Aarons Party,4fF34Yf5KsfUbCORyLGpEj
2000,LARA FABIAN,I Will Love Again,1raT3L0NJtc10t7xNgHJZ1
2000,YOLANDA ADAMS,Open My Heart,4cNbCWPJjLHP5ijow5LbVg
2000,DARRYL WORLEY,When You Need My Love,4YVn5jM7iJqjQLu1gRhP2W
2000,TRAVIS TRITT,Best Of Intentions,7v3BvPRQS4DcsDzYU0BiVd
2000,THIRD EYE BLIND,Deep Inside Of You,06iQLLK93Dlv7RcvzmZo2g
2000,SISTER HAZEL,Change Your Mind,3PuoEoC2QYXUJPk1DObFsU
2000,VINCE GILL,Feels Like Love,5cZoGjEO92OA1Navo4iY8X
2000,LUCY PEARL,Dance Tonight,1TwVcKR6JojvPwBGbWZT36
2000,RED HOT CHILLI PEPPERS,Californication,48UPSzbZjgc449aqz8bxox
